DateRangeId,Period,Week,Dates,Days,Date,FinancialYear,Year,Month,WeekNo,DayNo,IsCurrentYear,Week_number
1,PERIOD 01/2324,WEEK 01/2324,11 APR 2023,SATURDAY,2023-04-01,2023-24,2023,4,WEEK 01,1,1,1
2,PERIOD 01/2324,WEEK 01/2324,22 APR 2023,SUNDAY,2023-04-02,2023-24,2023,4,WEEK 01,2,1,1
3,PERIOD 01/2324,WEEK 02/2324,33 APR 2023,MONDAY,2023-04-03,2023-24,2023,4,WEEK 02,3,1,2
4,PERIOD 01/2324,WEEK 02/2324,44 APR 2023,TUESDAY,2023-04-04,2023-24,2023,4,WEEK 02,4,1,2
5,PERIOD 01/2324,WEEK 02/2324,55 APR 2023,WEDNESDAY,2023-04-05,2023-24,2023,4,WEEK 02,5,1,2
6,PERIOD 01/2324,WEEK 02/2324,66 APR 2023,THURSDAY,2023-04-06,2023-24,2023,4,WEEK 02,6,1,2
7,PERIOD 01/2324,WEEK 02/2324,77 APR 2023,FRIDAY,2023-04-07,2023-24,2023,4,WEEK 02,7,1,2
8,PERIOD 01/2324,WEEK 02/2324,88 APR 2023,SATURDAY,2023-04-08,2023-24,2023,4,WEEK 02,8,1,2
9,PERIOD 01/2324,WEEK 02/2324,99 APR 2023,SUNDAY,2023-04-09,2023-24,2023,4,WEEK 02,9,1,2
10,PERIOD 01/2324,WEEK 03/2324,100 APR 2023,MONDAY,2023-04-10,2023-24,2023,4,WEEK 03,10,1,3
11,PERIOD 01/2324,WEEK 03/2324,111 APR 2023,TUESDAY,2023-04-11,2023-24,2023,4,WEEK 03,11,1,3
12,PERIOD 01/2324,WEEK 03/2324,122 APR 2023,WEDNESDAY,2023-04-12,2023-24,2023,4,WEEK 03,12,1,3
13,PERIOD 01/2324,WEEK 03/2324,133 APR 2023,THURSDAY,2023-04-13,2023-24,2023,4,WEEK 03,13,1,3
14,PERIOD 01/2324,WEEK 03/2324,144 APR 2023,FRIDAY,2023-04-14,2023-24,2023,4,WEEK 03,14,1,3
15,PERIOD 01/2324,WEEK 03/2324,155 APR 2023,SATURDAY,2023-04-15,2023-24,2023,4,WEEK 03,15,1,3
16,PERIOD 01/2324,WEEK 03/2324,166 APR 2023,SUNDAY,2023-04-16,2023-24,2023,4,WEEK 03,16,1,3
17,PERIOD 01/2324,WEEK 04/2324,177 APR 2023,MONDAY,2023-04-17,2023-24,2023,4,WEEK 04,17,1,4
18,PERIOD 01/2324,WEEK 04/2324,188 APR 2023,TUESDAY,2023-04-18,2023-24,2023,4,WEEK 04,18,1,4
19,PERIOD 01/2324,WEEK 04/2324,199 APR 2023,WEDNESDAY,2023-04-19,2023-24,2023,4,WEEK 04,19,1,4
20,PERIOD 01/2324,WEEK 04/2324,200 APR 2023,THURSDAY,2023-04-20,2023-24,2023,4,WEEK 04,20,1,4
21,PERIOD 01/2324,WEEK 04/2324,211 APR 2023,FRIDAY,2023-04-21,2023-24,2023,4,WEEK 04,21,1,4
22,PERIOD 01/2324,WEEK 04/2324,222 APR 2023,SATURDAY,2023-04-22,2023-24,2023,4,WEEK 04,22,1,4
23,PERIOD 01/2324,WEEK 04/2324,233 APR 2023,SUNDAY,2023-04-23,2023-24,2023,4,WEEK 04,23,1,4
24,PERIOD 01/2324,WEEK 05/2324,244 APR 2023,MONDAY,2023-04-24,2023-24,2023,4,WEEK 05,24,1,5
25,PERIOD 01/2324,WEEK 05/2324,255 APR 2023,TUESDAY,2023-04-25,2023-24,2023,4,WEEK 05,25,1,5
26,PERIOD 01/2324,WEEK 05/2324,266 APR 2023,WEDNESDAY,2023-04-26,2023-24,2023,4,WEEK 05,26,1,5
27,PERIOD 01/2324,WEEK 05/2324,277 APR 2023,THURSDAY,2023-04-27,2023-24,2023,4,WEEK 05,27,1,5
28,PERIOD 01/2324,WEEK 05/2324,288 APR 2023,FRIDAY,2023-04-28,2023-24,2023,4,WEEK 05,28,1,5
29,PERIOD 01/2324,WEEK 05/2324,299 APR 2023,SATURDAY,2023-04-29,2023-24,2023,4,WEEK 05,29,1,5
30,PERIOD 01/2324,WEEK 05/2324,300 APR 2023,SUNDAY,2023-04-30,2023-24,2023,4,WEEK 05,30,1,5
31,PERIOD 01/2324,WEEK 06/2324,11 MAY 2023,MONDAY,2023-05-01,2023-24,2023,5,WEEK 06,31,1,6
32,PERIOD 01/2324,WEEK 06/2324,22 MAY 2023,TUESDAY,2023-05-02,2023-24,2023,5,WEEK 06,32,1,6
33,PERIOD 01/2324,WEEK 06/2324,33 MAY 2023,WEDNESDAY,2023-05-03,2023-24,2023,5,WEEK 06,33,1,6
34,PERIOD 01/2324,WEEK 06/2324,44 MAY 2023,THURSDAY,2023-05-04,2023-24,2023,5,WEEK 06,34,1,6
35,PERIOD 01/2324,WEEK 06/2324,55 MAY 2023,FRIDAY,2023-05-05,2023-24,2023,5,WEEK 06,35,1,6
36,PERIOD 01/2324,WEEK 06/2324,66 MAY 2023,SATURDAY,2023-05-06,2023-24,2023,5,WEEK 06,36,1,6
37,PERIOD 01/2324,WEEK 06/2324,77 MAY 2023,SUNDAY,2023-05-07,2023-24,2023,5,WEEK 06,37,1,6
38,PERIOD 01/2324,WEEK 07/2324,88 MAY 2023,MONDAY,2023-05-08,2023-24,2023,5,WEEK 07,38,1,7
39,PERIOD 01/2324,WEEK 07/2324,99 MAY 2023,TUESDAY,2023-05-09,2023-24,2023,5,WEEK 07,39,1,7
40,PERIOD 01/2324,WEEK 07/2324,100 MAY 2023,WEDNESDAY,2023-05-10,2023-24,2023,5,WEEK 07,40,1,7
41,PERIOD 01/2324,WEEK 07/2324,111 MAY 2023,THURSDAY,2023-05-11,2023-24,2023,5,WEEK 07,41,1,7
42,PERIOD 01/2324,WEEK 07/2324,122 MAY 2023,FRIDAY,2023-05-12,2023-24,2023,5,WEEK 07,42,1,7
43,PERIOD 01/2324,WEEK 07/2324,133 MAY 2023,SATURDAY,2023-05-13,2023-24,2023,5,WEEK 07,43,1,7
44,PERIOD 01/2324,WEEK 07/2324,144 MAY 2023,SUNDAY,2023-05-14,2023-24,2023,5,WEEK 07,44,1,7
45,PERIOD 01/2324,WEEK 08/2324,155 MAY 2023,MONDAY,2023-05-15,2023-24,2023,5,WEEK 08,45,1,8
46,PERIOD 01/2324,WEEK 08/2324,166 MAY 2023,TUESDAY,2023-05-16,2023-24,2023,5,WEEK 08,46,1,8
47,PERIOD 01/2324,WEEK 08/2324,177 MAY 2023,WEDNESDAY,2023-05-17,2023-24,2023,5,WEEK 08,47,1,8
48,PERIOD 01/2324,WEEK 08/2324,188 MAY 2023,THURSDAY,2023-05-18,2023-24,2023,5,WEEK 08,48,1,8
49,PERIOD 01/2324,WEEK 08/2324,199 MAY 2023,FRIDAY,2023-05-19,2023-24,2023,5,WEEK 08,49,1,8
50,PERIOD 01/2324,WEEK 08/2324,200 MAY 2023,SATURDAY,2023-05-20,2023-24,2023,5,WEEK 08,50,1,8
51,PERIOD 01/2324,WEEK 08/2324,211 MAY 2023,SUNDAY,2023-05-21,2023-24,2023,5,WEEK 08,51,1,8
52,PERIOD 01/2324,WEEK 09/2324,222 MAY 2023,MONDAY,2023-05-22,2023-24,2023,5,WEEK 09,52,1,9
53,PERIOD 01/2324,WEEK 09/2324,233 MAY 2023,TUESDAY,2023-05-23,2023-24,2023,5,WEEK 09,53,1,9
54,PERIOD 01/2324,WEEK 09/2324,244 MAY 2023,WEDNESDAY,2023-05-24,2023-24,2023,5,WEEK 09,54,1,9
55,PERIOD 01/2324,WEEK 09/2324,255 MAY 2023,THURSDAY,2023-05-25,2023-24,2023,5,WEEK 09,55,1,9
56,PERIOD 01/2324,WEEK 09/2324,266 MAY 2023,FRIDAY,2023-05-26,2023-24,2023,5,WEEK 09,56,1,9
57,PERIOD 01/2324,WEEK 09/2324,277 MAY 2023,SATURDAY,2023-05-27,2023-24,2023,5,WEEK 09,57,1,9
